Baked Products,Weight,Measure,Protein,Sugars,Fat,Carbohydrate,Calcium,Energy,Water
"Toaster Pastries, KELLOGG, KELLOGG'S POP TARTS, Frosted cherry",52.0,1.0 pastry,12.5 g,25.0 mg,4.2 g,36.0 g,10.2 g,72.0 g,397.0 kcal
"Toaster Pastries, KELLOGG, KELLOGG'S POP TARTS, Frosted chocolate fudge",52.0,1.0 pastry,12.75 g,192.0 mg,4.9 g,35.0 g,9.3 g,70.4 g,384.0 kcal
"Toaster Pastries, KELLOGG, KELLOGG'S POP TARTS, Frosted raspberry",52.0,1.0 pastry,12.5 g,22.0 mg,4.2 g,35.4 g,10.6 g,71.62 g,399.0 kcal
"Toaster Pastries, KELLOGG, KELLOGG'S POP TARTS, Frosted strawberry",52.0,1.0 pastry,12.75 g,-- mg,4.1 g,30.3 g,9.8 g,71.7 g,390.0 kcal
"Toaster Pastries, KELLOGG, KELLOGG'S POP TARTS, Frosted wild berry",52.0,1.0 pastry,12.75 g,-- mg,4.0 g,31.7 g,9.5 g,72.4 g,390.0 kcal
"Toaster Pastries, KELLOGG, KELLOGG'S POP TARTS, S'mores",52.0,1.0 pastry,12.5 g,29.0 mg,6.2 g,36.5 g,10.5 g,69.6 g,392.0 kcal
"Toaster Pastries, KELLOGG, KELLOGG'S POP TARTS, Strawberry",52.0,1.0 pastry,12.5 g,24.0 mg,4.7 g,33.0 g,10.5 g,71.1 g,398.0 kcal
"Tortillas, ready-to-bake or -fry, corn",28.35,1.0 oz,45.89 g,81.0 mg,5.7 g,0.88 g,2.85 g,44.64 g,218.0 kcal
"Tortillas, ready-to-bake or -fry, corn, without added salt",28.35,1.0 oz,44.1 g,175.0 mg,5.7 g,-- g,2.5 g,46.6 g,222.0 kcal
"Tortillas, ready-to-bake or -fry, flour, refrigerated",48.0,1.0 tortilla,31.98 g,146.0 mg,8.2 g,3.71 g,7.99 g,49.38 g,306.0 kcal
"Tortillas, ready-to-bake or -fry, flour, shelf stable",49.0,1.0 tortilla,32.43 g,163.0 mg,8.01 g,2.66 g,7.58 g,49.27 g,297.0 kcal
"Tortillas, ready-to-bake or -fry, flour, without added calcium",28.35,1.0 oz,26.8 g,39.0 mg,8.7 g,-- g,7.1 g,55.6 g,325.0 kcal
"Tortillas, ready-to-bake or -fry, whole wheat",41.0,1.0 tortilla 1 serving,30.15 g,244.0 mg,9.76 g,2.44 g,-- g,45.89 g,310.0 kcal
"Tostada shells, corn",12.3,1.0 piece,3.32 g,76.0 mg,6.15 g,-- g,23.38 g,64.43 g,474.0 kcal
"UDI'S, Gluten Free, Classic French Dinner Rolls",36.0,1.0 roll,28.3 g,82.0 mg,7.99 g,9.53 g,6.4 g,55.1 g,310.0 kcal
"UDI'S, Gluten Free, Soft &amp; Delicious White Sandwich Bread",28.0,1.0 slice,33.69 g,59.0 mg,5.4 g,11.3 g,8.02 g,51.15 g,298.0 kcal
"UDI'S, Gluten Free, Soft &amp; Hearty Whole Grain Bread",25.0,1.0 slice,32.36 g,60.0 mg,7.25 g,9.81 g,9.34 g,49.09 g,309.0 kcal
"UDI'S, Gluten Free, Whole Grain Dinner Rolls",44.0,1.0 roll,29.9 g,118.0 mg,11.8 g,4.2 g,11.6 g,44.29 g,329.0 kcal
"VAN'S, Gluten Free, Totally Original Pancakes",48.0,1.0 pancake,50.24 g,39.0 mg,3.31 g,4.06 g,4.55 g,40.32 g,215.0 kcal
"VAN'S, Gluten Free, Totally Original Waffles",47.0,1.0 waffle,46.22 g,48.0 mg,2.99 g,1.73 g,8.22 g,40.54 g,248.0 kcal
"VAN'S, The Perfect 10, Crispy Six Whole Grain + Four Seed Baked Crackers, Gluten Free",8.4,3.0 crackers,3.09 g,57.0 mg,7.63 g,-- g,18.93 g,67.57 g,471.0 kcal
"Waffle, buttermilk, frozen, ready-to-heat, microwaved",35.0,1.0 waffle,36.48 g,125.0 mg,6.92 g,4.5 g,9.4 g,44.16 g,289.0 kcal
"Waffle, buttermilk, frozen, ready-to-heat, toasted",28.0,1.0 oz,31.57 g,299.0 mg,7.42 g,4.41 g,9.49 g,48.39 g,309.0 kcal
"Waffle, plain, frozen, ready-to-heat, microwave",32.0,"1.0 waffle, round (4""dia)",34.95 g,197.0 mg,6.71 g,5.04 g,9.91 g,45.41 g,298.0 kcal
"Waffles, buttermilk, frozen, ready-to-heat",39.0,"1.0 waffle, square",40.34 g,279.0 mg,6.58 g,4.3 g,9.22 g,41.05 g,273.0 kcal
"Waffles, chocolate chip, frozen, ready-to-heat",70.0,2.0 waffles,35.62 g,357.0 mg,5.8 g,13.1 g,10.1 g,45.68 g,297.0 kcal
"Waffles, gluten-free, frozen, ready-to-heat",45.0,1.0 waffle,43.37 g,40.0 mg,2.72 g,1.73 g,8.84 g,43.05 g,263.0 kcal
"Waffles, plain, frozen, ready -to-heat, toasted",28.35,1.0 oz,30.59 g,307.0 mg,7.19 g,5.02 g,9.61 g,49.29 g,312.0 kcal
"Waffles, plain, frozen, ready-to-heat",28.35,1.0 oz,37.95 g,308.0 mg,6.47 g,4.91 g,9.7 g,42.98 g,285.0 kcal
"Waffles, plain, prepared from recipe",28.35,1.0 oz,42.0 g,255.0 mg,7.9 g,-- g,14.1 g,32.9 g,291.0 kcal
"Waffles, whole wheat, lowfat, frozen, ready-to-heat",70.0,1.0 serving 2 waffles,38.39 g,143.0 mg,7.14 g,4.29 g,3.57 g,49.16 g,257.0 kcal
Wonton wrappers (includes egg roll wrappers),28.35,1.0 oz,28.8 g,47.0 mg,9.8 g,-- g,1.5 g,57.9 g,291.0 kcal
